animal_ID,row,column,cryotube label,box,type,passage,type2,info,CRYOZOO.PASSAGE,NEED STOCK,Thawed,,animal_ID,CRYOZOO PASSAGE,NEED STOCK
A11,7,2,A11 P3,BOX9._N2_RACK2,N2,3,Fibroblast, ,P3,,,,A11,P3,
A11,7,3,A11 P3,BOX9._N2_RACK2,N2,3,Fibroblast, ,P3,,,,A13,P2,
A13,3,2,LEON RUN RUN  A13 P2,BOX9._N2_RACK2,N2,2,Fibroblast,LEON RUN RUN   ,P2,,,,A14,P3,
A13,5,7,LION RUN RUN A13 P2,BOX9._N2_RACK2,N2,2,Fibroblast,LION RUN RUN  ,P2,,,,A15,P1,
A13,5,8,LION RUN RUN A13 P2,BOX9._N2_RACK2,N2,2,Fibroblast,LION RUN RUN  ,P2,,,,A157,?,
A14,6,5,LEON MACHO P0 A14,BOX8_N2_RACK2,N2,0,Fibroblast,LEON MACHO  ,P0,,,,A260,P2,
A14,2,8,A14 P3,Cell.Lines.Bellaterra.II.N2,N2,3,Fibroblast, ,P3,,,,A274,P2,
A15,6,3,A15 p4,BOX7_N2_RACK2,N2,4,Fibroblast, ,P4,,,,A278,P2,
A157,5,9,A157 FIBROS,BOX2_N2_RACK2,N2,0,Fibroblast, FIBROS,P0,,,,A286,P1,
A157,6,9,A157,BOX1_N2_RACK2,N2,0,other,,P-1,,,,A301,P1,YES
A157,1,1,A157,BOX7_N2_RACK2,N2,0,other,,P-1,,,,A308,P2,
A157,1,2,A157,BOX7_N2_RACK2,N2,0,other,,P-1,,,,A322,P4,YES
A157,1,5,A157 0rang P?,BOX7_N2_RACK2,N2,0,other, 0rang P?,P-1,,,,A342,P1,YES
A260,3,2,A260 P2,BOX5_N2_RACK2,N2,2,Fibroblast, ,P2,,,,A345,P0,
A260,5,5,A260 P2,BOX5_N2_RACK2,N2,2,Fibroblast, ,P2,,,,A353,P1,
A274,4,5,A274 P2,RED.BOX.2.N2.to.go,N2,2,Fibroblast, ,P2,,,,A357,P1,
