taxon_id	taxon_rank	scientific_name	synonym	tol_id	common_name	subspecies	species	genus	family	order	class	phylum	kingdom	superkingdom	assembly_level	biosample	scaffold_n50	assembly_type	contig_n50	gene_count	assembly_date	busco_completeness	gc_percent	mitochondrion_assembly_span	c_value	genome_size	genome_size_kmer	genome_size_draft	chromosome_number	haploid_number	ploidy	insdc_open	published	sequencing_status
7829	genus	Scyliorhinus	["Scillium"]					Scyliorhinus	Scyliorhinidae	Carcharhiniformes	Chondrichthyes	Chordata	Metazoa	Eukaryota	Chromosome	SAMD00098918;SAMEA994730	198790641		1862211		2023-04-12			16690	6.36328125	6222525000			80	36	2	DTOL;EBP;ERGA;PRJDB6260;PRJEB33226;PRJEB35944;PRJEB35945;PRJEB35946;SQUALOMIX;VGP		insdc_open
10028	genus	Cricetulus	["Moldavimus"]					Cricetulus	Cricetidae	Rodentia	Mammalia	Chordata	Metazoa	Eukaryota	Scaffold	SAMEA104116709;SAMN02981352;SAMN02981459;SAMN02981520;SAMN07140313;SAMN29793812	274391693		2711962		2023-04-03			16283	3.19921875	3129600000			20	10	2	PRJEB21211;PRJNA167053;PRJNA189319;PRJNA389969;PRJNA69991;PRJNA859676		insdc_open
8683	genus	Hydrophis	["Crottyhydrophis"]					Hydrophis	Hydrophiidae	Squamata	Lepidosauria	Chordata	Metazoa	Eukaryota	Chromosome	SAMD00134211;SAMN12828154;SAMN14481518	266229956		18985681		2023-04-12			18716	2.57421875	2518350000			32	16	1	PRJDB7271;PRJNA573877;PRJNA616080		insdc_open
9481	genus	Callithrix	["Mico"]					Callithrix	Cebidae	Primates	Mammalia	Chordata	Metazoa	Eukaryota	Chromosome	CNS0279747;SAMD00031689;SAMD00169834;SAMD00217773;SAMN02770241;SAMN02981242;SAMN07586072;SAMN12368443;SAMN12783337;SAMN30617511	146897247		103968124		2021-04-28			16499	3.4296875	3354540000			52	22	2	EBP;PRJDB3965;PRJDB8242;PRJDB9375;PRJNA167910;PRJNA176380;PRJNA20401;PRJNA246742;PRJNA401030;PRJNA558086;PRJNA558087;PRJNA560230;PRJNA566173;PRJNA597600;PRJNA941356;PRJNA941357;PRJNA949199;VGP		insdc_open
7935	genus	Anguilla	["Anguilla"]					Anguilla	Anguillidae	Anguilliformes	Actinopteri	Chordata	Metazoa	Eukaryota	Chromosome	SAMD00080929;SAMD00098195;SAMEA104717565;SAMEA5568835;SAMEA5568836;SAMEA5568837;SAMN02777865;SAMN03004389;SAMN03737505;SAMN11472315;SAMN12623627;SAMN17394361;SAMN18538529;SAMN29326702	58706456		21484275		2023-04-03			16694	1.400390625	1369200000			38	19	2	EBP;PRJDB5760;PRJDB6433;PRJEB25708;PRJEB32187;PRJNA158309;PRJNA285069;PRJNA533944;PRJNA561979;PRJNA561984;PRJNA562168;PRJNA693699;PRJNA718538;PRJNA73577;PRJNA852364;VGP		insdc_open
167931	genus	Glandirana	["Glandirana"]					Glandirana	Ranidae	Anura	Amphibia	Chordata	Metazoa	Eukaryota	Scaffold	SAMD00218480	747629		11002		2023-04-03			17707	9.7578125	9540390000			26	13	3	PRJDB9666		insdc_open
8353	genus	Xenopus	["Dactyletra"]					Xenopus	Pipidae	Anura	Amphibia	Chordata	Metazoa	Eukaryota	Chromosome	SAMN04518361;SAMN13041969;SAMN14253885;SAMN18035302;SAMN27622247	155250555		22451507		2021-04-12			17423	3.033203125	2622262500			40	18	4	PRJNA313213;PRJNA577946;PRJNA606649;PRJNA827809		insdc_open
8399	genus	Rana	["Pseudoamolops"]					Rana	Ranidae	Anura	Amphibia	Chordata	Metazoa	Eukaryota	Chromosome	SAMEA7521635;SAMN12123141;SAMN14691543;SAMN23768474	938497014		6264810		2021-01-28			18591	6.80078125	6278760000			28	13	3	DTOL;EBP;ERGA;PRJEB42170;PRJEB42171;PRJEB42239;PRJNA550264;PRJNA627939;PRJNA787055;VGP		insdc_open
9360	genus	Dasypus	["Dasyrus"]					Dasypus	Dasypodidae	Cingulata	Mammalia	Chordata	Metazoa	Eukaryota	Chromosome	SAMN02953623;SAMN32738980	130056132		14295626		2023-07-13			16936	5.046875	4934010000			64	32	2	EBP;PRJNA12594;PRJNA923799;PRJNA923800;PRJNA993262;VGP		insdc_open
8392	genus	Phyllomedusa	["Phyllomedusa"]					Phyllomedusa	Hylidae	Anura	Amphibia	Chordata	Metazoa	Eukaryota	Contig	SAMN22304513	78483		78483		2022-09-23			16239	6.6640625	6518370000			26	13	2	PRJNA771272		insdc_open
192752	genus	Lithobates	["Lithobates"]					Lithobates	Ranidae	Anura	Amphibia	Chordata	Metazoa	Eukaryota	Chromosome	SAMN03760860;SAMN32099673	611110003		2498674		2023-04-03			17504	6.5	6357000000			26	13	3	PRJNA285814;PRJNA910823		insdc_open
8295	genus	Ambystoma	["Gyrinus"]					Ambystoma	Ambystomatidae	Caudata	Amphibia	Chordata	Metazoa	Eukaryota	Chromosome	SAMN06554622	1205706733		217996		2023-04-03			16367	29.5	28851000000			28	14	3	PRJNA378970		insdc_open
13149	genus	Microcebus	["Scartes"]					Microcebus	Cheirogaleidae	Primates	Mammalia	Chordata	Metazoa	Eukaryota	Chromosome	SAMN06275470;SAMN10707780;SAMN10707781;SAMN10707782;SAMN10707783;SAMN10707784	108171978		210702		2023-04-03			16764	3.119140625	3051360000			66	33	2	PRJNA19967;PRJNA512515		insdc_open
9401	genus	Pteropus	["Desmalopex"]					Pteropus	Pteropodidae	Chiroptera	Mammalia	Chordata	Metazoa	Eukaryota	Chromosome	SAMD00237435;SAMEA5634742;SAMN01103203;SAMN02894360;SAMN14122077	110476781		394964		2023-04-03			16718	2.3203125	2268960000			38	19	2	EBP;PRJDB10275;PRJEB32728;PRJNA167910;PRJNA171993;PRJNA20325;PRJNA512907;PRJNA944680		insdc_open
9682	genus	Felis	["Otocolobus"]					Felis	Felidae	Carnivora	Mammalia	Chordata	Metazoa	Eukaryota	Chromosome	SAMD00228405;SAMN02953640;SAMN03000705;SAMN07678084;SAMN16486447;SAMN16895758;SAMN17103467;SAMN19729387	151107676		91188488		2023-04-03			16723	3.029296875	2963340000			38	19	2	EBP;PRJDB9879;PRJNA16726;PRJNA32759;PRJNA399394;PRJNA512907;PRJNA670214;PRJNA684600;PRJNA686007;PRJNA701031;PRJNA741979;PRJNA944680;ZOONOMIA	ZOONOMIA	published
13513	genus	Eulemur	["Eulemur"]					Eulemur	Lemuridae	Primates	Mammalia	Chordata	Metazoa	Eukaryota	Chromosome	SAMN03699688;SAMN03699689;SAMN07678083;SAMN14122068	82429097		38022		2023-04-03			17122	2.974609375	2909550000			48	24	2	EBP;PRJNA284191;PRJNA399393;PRJNA512907;PRJNA944680;ZOONOMIA	ZOONOMIA	published
9406	genus	Rousettus	["Senonycteris"]					Rousettus	Pteropodidae	Chiroptera	Mammalia	Chordata	Metazoa	Eukaryota	Chromosome	SAMD00237936;SAMD00256191;SAMN04287759;SAMN07678121;SAMN14122079;SAMN14734550	113811795		21999313		2023-04-03			16680	2.19921875	2151600000			38	18	2	BAT1K;EBP;PRJDB10312;PRJNA303181;PRJNA399428;PRJNA512907;PRJNA628585;PRJNA944680;VGP;ZOONOMIA	ZOONOMIA	published
9893	genus	Giraffa	["Orasius"]					Giraffa	Giraffidae	Artiodactyla	Mammalia	Chordata	Metazoa	Eukaryota	Chromosome	SAMN04526126;SAMN08714473;SAMN09604854;SAMN14677183;SAMN15027847	160341600		11323477		2023-04-03			16433	2.76953125	2709060000			30	15	2	EBP;LOEWE-TBG;PRJNA313910;PRJNA438286;PRJNA479821;PRJNA627604;PRJNA635165		insdc_open
94992	genus	Silurus	["Siluris"]					Silurus	Siluridae	Siluriformes	Actinopteri	Chordata	Metazoa	Eukaryota	Chromosome	SAMEA12595289;SAMN08225753;SAMN08225761;SAMN14055911;SAMN14558653;SAMN31781926	30578072		13195069		2023-04-03			16524	1.2802734375	1251840000			58	29	1	EBP;ERGA;ERGA-PIL;ERGAPIL;PRJEB43745;PRJEB55446;PRJEB55686;PRJEB55687;PRJNA427243;PRJNA427250;PRJNA605930;PRJNA623722;PRJNA902967;VGP		insdc_open
12929	genus	Amazona	["Amazona"]					Amazona	Psittacidae	Psittaciformes	Aves	Chordata	Metazoa	Eukaryota	Chromosome	CNS0103067;SAMN02981494;SAMN04014659;SAMN10023852;SAMN12253802;SAMN17376699;SAMN18613271;SAMN18863654;SAMN18865412;SAMN30201253	89048441		208912		2023-04-13			18853	1.5927734375	1557465000			68	35	2	B10K;EBP;PRJNA171587;PRJNA294082;PRJNA490036;PRJNA679636;PRJNA703490;PRJNA703496;PRJNA703509;PRJNA703517		insdc_open
8952	genus	Falco	["Harpe"]					Falco	Falconidae	Falconiformes	Aves	Chordata	Metazoa	Eukaryota	Chromosome	SAMD00156794;SAMN02981425;SAMN02981426;SAMN08398480;SAMN12629496;SAMN16870685;SAMN18520353;SAMN18520354;SAMN18520355;SAMN18520370;SAMN18520372;SAMN18520375;SAMN18520376;SAMN19459807;SAMN24625188;SAMN24625189;SAMN24625190;SAMN24625191;SAMN24625192;SAMN24625193;SAMN24625194;SAMN24625195;SAMN28688204;SAMN28688289;SAMN28688290;SAMN29982932;SAMN30930110	93682670		58256415		2023-04-03			17670	1.4345703125	1403430000			52	26	2	EBP;PRJDB7811;PRJNA159791;PRJNA168071;PRJNA347893;PRJNA431699;PRJNA489244;PRJNA561988;PRJNA562209;PRJNA702665;PRJNA702666;PRJNA715196;PRJNA717977;PRJNA717978;PRJNA717979;PRJNA717980;PRJNA717981;PRJNA717982;PRJNA717983;PRJNA733804;PRJNA802093;PRJNA802094;PRJNA802095;PRJNA802096;PRJNA802097;PRJNA802098;PRJNA802099;PRJNA802100;PRJNA802101;PRJNA802102;PRJNA802103;PRJNA802104;PRJNA802105;PRJNA802106;PRJNA802107;PRJNA802108;PRJNA832299;PRJNA832300;PRJNA832301;PRJNA832303;PRJNA832304;PRJNA832305;PRJNA832306;PRJNA832307;PRJNA842826;PRJNA842827;PRJNA842830;PRJNA842831;PRJNA842833;PRJNA842834;PRJNA844067;PRJNA844070;PRJNA844077;PRJNA862533;PRJNA872351;VGP		insdc_open
8160	genus	Seriola	["Regificola"]					Seriola	Carangidae	Carangiformes	Actinopteri	Chordata	Metazoa	Eukaryota	Chromosome	CNS0420299;SAMD00068660;SAMD00083042;SAMD00083043;SAMD00098161;SAMN04544729;SAMN04902367;SAMN08545647;SAMN20750612;SAMN27572242	28520646		22205002		2023-04-03			16531	0.7548828125	738390000			48	24	2	PRJDB5349;PRJDB5854;PRJDB5856;PRJDB6445;PRJNA314866;PRJNA319656;PRJNA434264;PRJNA754209;PRJNA826606		insdc_open
171274	genus	Recurvirostra	["Recurvirostra"]					Recurvirostra	Recurvirostridae	Charadriiformes	Aves	Chordata	Metazoa	Eukaryota	Scaffold	SAMN10518521	96778		10462		2019-01-15			16897	1.58984375	1555020000			76	38	2	PRJNA508229		insdc_open
9539	genus	Macaca	["Cynomacaca"]					Macaca	Cercopithecidae	Primates	Mammalia	Chordata	Metazoa	Eukaryota	Chromosome	CNS0489762;CNS0489763;CNS0489764;CNS0527361;SAMD00113013;SAMD00204697;SAMEA13374499;SAMEA13374515;SAMEA2272428;SAMEA6799837;SAMEA6828341;SAMEA6853247;SAMEA9989850;SAMN00113489;SAMN00116341;SAMN00811240;SAMN02981228;SAMN03121842;SAMN09435472;SAMN10580871;SAMN10721089;SAMN12512033;SAMN14146612;SAMN23009141;SAMN23575344;SAMN23575345;SAMN27068423;SAMN30617510	155658852		60712129		2023-06-07			16563	3.44921875	3374100000			42	21	2	EBP;PRGP;PRJDB6785;PRJDB9269;PRJEA48347;PRJEB37977;PRJEB38383;PRJEB38384;PRJEB38545;PRJEB47561;PRJEB51627;PRJEB51630;PRJNA12537;PRJNA167910;PRJNA176380;PRJNA20409;PRJNA214746;PRJNA251427;PRJNA476474;PRJNA509445;PRJNA51409;PRJNA51411;PRJNA514196;PRJNA559050;PRJNA607781;PRJNA779036;PRJNA785018;PRJNA821381;PRJNA941358;PRJNA941359;PRJNA950952		insdc_open
1977159	genus	Antigone	["Antigone"]					Antigone	Gruidae	Gruiformes	Aves	Chordata	Metazoa	Eukaryota	Scaffold	SAMD00156793	77158		32896		2023-04-03			16685	1.5029296875	1457220000			80	40	2	PRJDB7810		insdc_open
9239	genus	Spheniscus	["Spheniscus"]					Spheniscus	Spheniscidae	Sphenisciformes	Aves	Chordata	Metazoa	Eukaryota	Chromosome	CNS0106312;CNS0106313;CNS0106314;CNS0106315;SAMD00222501;SAMN06701108;SAMN06701109;SAMN06701110;SAMN06701111;SAMN06701112;SAMN06701113;SAMN12384881;SAMN12384882;SAMN12384883;SAMN12384884;SAMN28408465	89079306		13936613		2022-12-28			16602	1.6298828125	1594140000			68	36	2	EBP;PRJDB9715;PRJNA382168;PRJNA489244;PRJNA556735;PRJNA838343;PRJNA838344;PRJNA922133;VGP		insdc_open
8789	genus	Dromaius	["Dromaeius"]					Dromaius	Dromaiidae	Casuariiformes	Aves	Chordata	Metazoa	Eukaryota	Scaffold	CNS0103033;SAMD00230362;SAMD00230363;SAMN08476457;SAMN12253764;SAMN15183959	82725153		15904022		2023-04-03			16712	1.58984375	1555020000			80	40	2	B10K;EBP;PRJDB10278;PRJDB10282;PRJDB10283;PRJDB9980;PRJNA433110;PRJNA489244;PRJNA638233;PRJNA641107;VGP		insdc_open
8927	genus	Ciconia	["Dissoura"]					Ciconia	Ciconiidae	Ciconiiformes	Aves	Chordata	Metazoa	Eukaryota	Chromosome	CNS0103068;SAMD00050841;SAMN12253803;SAMN14525737;SAMN14525744;SAMN14525833;SAMN14525838;SAMN14525853;SAMN14694743;SAMN18353822	85704854		23757428		2023-01-06			17622	1.580078125	1545240000			68	34	2	B10K;EBP;PRJDB4709;PRJNA489244;PRJNA622693;PRJNA622694;PRJNA622717;PRJNA622721;PRJNA622725;PRJNA628040;PRJNA715732;PRJNA715733;PRJNA717215;VGP		insdc_open
135449	genus	Sporophila	["Neorhynchus"]					Sporophila	Thraupidae	Passeriformes	Aves	Chordata	Metazoa	Eukaryota	Scaffold	SAMN06754710	7965281		1043501		2023-04-03			16778	1.28515625	1256730000			80	39	2	PRJNA382416		insdc_open
36298	genus	Zosterops	["Luteozosterops"]					Zosterops	Zosteropidae	Passeriformes	Aves	Chordata	Metazoa	Eukaryota	Scaffold	CNS0103059;SAMN03389315;SAMN11339519;SAMN11339534;SAMN12253794;SAMN14609389	9685185		48044		2023-04-03			17821	1.349609375	1320300000			78	39	2	B10K;EBP;PRJNA277310;PRJNA530916;PRJNA625760		insdc_open
30420	genus	Corvus	["Corvus"]					Corvus	Corvidae	Passeriformes	Aves	Chordata	Metazoa	Eukaryota	Chromosome	CNS0103272;SAMD00237434;SAMN02143031;SAMN02297499;SAMN08910264;SAMN09383001;SAMN12254009;SAMN12368441;SAMN12418287;SAMN13509879;SAMN16883221;SAMN22550278	76278832		23064755		2023-04-03			16923	1.259765625	1232280000			80	40	2	B10K;EBP;PRJDB10193;PRJNA192205;PRJNA212869;PRJNA358092;PRJNA448444;PRJNA475267;PRJNA489244;PRJNA557728;PRJNA560982;PRJNA560983;PRJNA561795;PRJNA680657;PRJNA680658;PRJNA772570;PRJNA774314;PRJNA774316;PRJNA776866;VGP		insdc_open
8835	genus	Anas	["Speculanas"]					Anas	Anatidae	Anseriformes	Aves	Chordata	Metazoa	Eukaryota	Chromosome	SAMEA4646736;SAMN00011637;SAMN07337762;SAMN07337763;SAMN07569716;SAMN10245527;SAMN12287667;SAMN15573981;SAMN15574011;SAMN15588841	77626585		16035322		2023-04-03			16602	1.41015625	1378980000			80	40	2	EBP;PRJEB26619;PRJNA392350;PRJNA403935;PRJNA46621;PRJNA489244;PRJNA496533;PRJNA554956;PRJNA636121;PRJNA641113;VGP		insdc_open
50368	genus	Arothron	["Catophorhynchus"]					Arothron	Tetraodontidae	Tetraodontiformes	Actinopteri	Chordata	Metazoa	Eukaryota	Scaffold	SAMD00166120	134966		17030		2023-04-03			16479	0.455078125	444990000			38	19	2	PRJDB8105		insdc_open
28779	genus	Nothobranchius	["Zononothobranchius"]					Nothobranchius	Nothobranchiidae	Cyprinodontiformes	Actinopteri	Chordata	Metazoa	Eukaryota	Scaffold	SAMEA2698544;SAMN02750843;SAMN11370837;SAMN11370839;SAMN11370840;SAMN11370841;SAMN11370843;SAMN11370844;SAMN11370845;SAMN13746779;SAMN31358047	49927339		707518		2023-04-03			18060	1.5595703125	1525680000			35	18	2	PRJEB5837;PRJNA221357;PRJNA531796;PRJNA599375;PRJNA891775		insdc_open
40156	genus	Lonchura	["Padda"]					Lonchura	Estrildidae	Passeriformes	Aves	Chordata	Metazoa	Eukaryota	Chromosome	SAMN06283872;SAMN07462598;SAMN07462599;SAMN07462603;SAMN07462628;SAMN07462632;SAMN07462725;SAMN07462740;SAMN07462752;SAMN07462808;SAMN07462821;SAMN07462823;SAMN07513404;SAMN07513414;SAMN11521339;SAMN23039802;SAMN23039806	71975342		100439		2023-04-03			16824	1.419921875	1388760000			78	39	2	PRJNA369279;PRJNA779480		insdc_open
8931	genus	Columba	["Columbus"]					Columba	Columbidae	Columbiformes	Aves	Chordata	Metazoa	Eukaryota	Scaffold	SAMD00237431;SAMN02981415;SAMN13336091	35840696		7787539		2023-04-03			17215	1.474609375	1442550000			80	40	2	PRJDB10189;PRJNA167554;PRJNA347893;PRJNA590607		insdc_open
8728	genus	Crotalus	["Crutchfieldus"]					Crotalus	Viperidae	Squamata	Lepidosauria	Chordata	Metazoa	Eukaryota	Chromosome	SAMN01815951;SAMN02918464;SAMN07738522;SAMN12497667;SAMN16378231;SAMN25872349	179897795		68097879		2022-08-04			17242	1.53515625	1501230000			36	18	2	CCGP;EBP;PRJNA181087;PRJNA255393;PRJNA413201;PRJNA558767;PRJNA667573;PRJNA765808;PRJNA804957;PRJNA807341;PRJNA807342		insdc_open
9114	genus	Grus	["Gros"]					Grus	Gruidae	Gruiformes	Aves	Chordata	Metazoa	Eukaryota	Chromosome	CNS0103182;SAMD00050840;SAMD00156792;SAMN11096029;SAMN12253918;SAMN32775697	82903739		28324902		2023-04-03			16651	1.5146484375	1481670000			80	40	2	B10K;EBP;PRJDB4708;PRJDB7809;PRJNA523951;PRJNA924953;PRJNA924954;PRJNA938116;VGP		insdc_open
30460	genus	Bubo	["Bubo"]					Bubo	Strigidae	Strigiformes	Aves	Chordata	Metazoa	Eukaryota	Scaffold	SAMD00160568;SAMN08398466;SAMN16326210	19757310		196832		2021-03-09			18843	1.6796875	1643040000			80	40	2	EBP;PRJDB7800;PRJNA431699;PRJNA666618;PRJNA706690		insdc_open
8968	genus	Haliaeetus	["Haliaëtos"]					Haliaeetus	Accipitridae	Accipitriformes	Aves	Chordata	Metazoa	Eukaryota	Scaffold	CNS0103260;SAMD00156790;SAMD00237430;SAMEA12857288;SAMN02333670;SAMN02664716;SAMN12253999;SAMN22787062;SAMN26583586	44398590		4576000		2022-10-18			17719	1.4296875	1398540000			66	33	2	B10K;EBP;ERGA;ERGA-PIL;ERGAPIL;PRJDB10191;PRJDB7806;PRJEB43745;PRJEB57284;PRJEB57865;PRJNA212896;PRJNA237821;PRJNA802903;PRJNA831167;VGP		insdc_open
8956	genus	Accipiter	["Erythrospiza"]					Accipiter	Accipitridae	Accipitriformes	Aves	Chordata	Metazoa	Eukaryota	Chromosome	SAMD00156788;SAMD00156791;SAMEA8235650;SAMN17359091;SAMN22164988;SAMN22322940;SAMN22346331;SAMN22348902;SAMN22348909;SAMN22348910;SAMN22348924;SAMN22348925;SAMN22348931;SAMN22787036;SAMN22787038;SAMN22787040;SAMN22787042;SAMN22787043;SAMN22787046;SAMN26583562;SAMN26583564	36680773		17712854		2023-04-03			18360	1.3349609375	1305630000			66	33	2	DTOL;EBP;ERGA;PRJDB7804;PRJDB7807;PRJEB48396;PRJEB50702;PRJEB50703;PRJNA692628;PRJNA754279;PRJNA769713;PRJNA770325;PRJNA771870;PRJNA771890;PRJNA771897;PRJNA771898;PRJNA771900;PRJNA771902;PRJNA771907;PRJNA776285;PRJNA776293;PRJNA776295;PRJNA776296;PRJNA776298;PRJNA797797;PRJNA797813;VGP		insdc_open
8080	genus	Poecilia	["Recepoecilia"]					Poecilia	Poeciliidae	Cyprinodontiformes	Actinopteri	Chordata	Metazoa	Eukaryota	Chromosome	SAMEA6533017;SAMEA6814944;SAMEA6814948;SAMEA6814952;SAMEA8117521;SAMN02048972;SAMN02048973;SAMN02404645;SAMN02981564;SAMN14441686	32826315		8200425		2023-04-12			16539	0.8876953125	867975000			46	23	2	PRJEB36704;PRJEB37697;PRJEB43222;PRJNA196862;PRJNA196869;PRJNA238429;PRJNA616368;PRJNA616372;PRJNA616373;PRJNA631983;PRJNA89109		insdc_open
94231	genus	Epinephelus	["Schistorus"]					Epinephelus	Serranidae	Perciformes	Actinopteri	Chordata	Metazoa	Eukaryota	Chromosome	CNS0005669;CNS0046686;CNS0228083;CNS0567004;SAMD00201013;SAMEA4836213;SAMN10786578;SAMN11657372;SAMN17126497;SAMN28817802	46227939		24330489		2023-04-14			16761	1.080078125	1056240000			48	24	2	PRJDB9224;PRJEB28248;PRJNA516312;PRJNA543191;PRJNA686844;PRJNA844481		insdc_open
8089	genus	Oryzias	["Oryzias"]					Oryzias	Adrianichthyidae	Beloniformes	Actinopteri	Chordata	Metazoa	Eukaryota	Chromosome	SAMD00036523;SAMD00239084;SAMD00264440;SAMEA111479007;SAMEA111479008;SAMEA111479009;SAMEA111479010;SAMEA111479011;SAMEA111479012;SAMEA111479013;SAMEA111479014;SAMEA111479015;SAMEA111479016;SAMEA111479017;SAMEA111479018;SAMEA8062563;SAMEA8062564;SAMEA8062565;SAMEA8062566;SAMEA8062567;SAMEA8062568;SAMEA8062569;SAMEA8062570;SAMEA8062571;SAMEA8062572;SAMEA8062573;SAMEA8062574;SAMN06689957;SAMN06689975;SAMN06690114;SAMN07596545;SAMN10417210;SAMN12084253;SAMN12368440;SAMN27115939;SAMN28464198	35390520		6114092		2023-07-20			16695	0.7998046875	782400000			48	24	2	PRJDB10371;PRJDB10959;PRJEB43089;PRJEB56756;PRJNA16702;PRJNA325079;PRJNA325193;PRJNA325194;PRJNA401159;PRJNA505405;PRJNA549378;PRJNA556761;PRJNA821560;PRJNA838810		insdc_open
8518	genus	Sceloporus	["Sceloporus"]					Sceloporus	Phrynosomatidae	Squamata	Lepidosauria	Chordata	Metazoa	Eukaryota	Chromosome	SAMN14373011;SAMN15450893;SAMN15450894;SAMN27480378	275632209		18989278		2022-05-11			17072	2.544921875	2489010000			34	11	2	CCGP;EBP;PRJNA612440;PRJNA644186;PRJNA765857;PRJNA777217;PRJNA824882;PRJNA824883		insdc_open
7763	genus	Eptatretus	["Bdellostoma"]					Eptatretus	Myxinidae	Myxiniformes	Myxini	Chordata	Metazoa	Eukaryota	Scaffold	SAMD00226236;SAMEA104124530	147070645		16240		2022-07-09			17168	2.73046875	2669940000			34	17	2	PRJDB9864;PRJEB21290		insdc_open
43779	genus	Nasalis	["Narsalis"]					Nasalis	Cercopithecidae	Primates	Mammalia	Chordata	Metazoa	Eukaryota	Chromosome	CNS0489765;SAMN02689222;SAMN07678099	137426304		34532		2014-11-10			16570	4.3203125	4224960000			48	24	2	EBP;PRJNA241312;PRJNA399408;ZOONOMIA	ZOONOMIA	published
8172	genus	Pagrus	["Semapagrus"]					Pagrus	Sparidae	Spariformes	Actinopteri	Chordata	Metazoa	Eukaryota	Scaffold	SAMD00076252	4644		2822		2023-04-12			16685	0.7998046875	782400000			48	24	2	PRJDB5593		insdc_open
