animal_ID,row,column,cryotube label,box,type,passage,info,CRYOZOO.PASSAGE,NEED STOCK,BATCH,Thawed,Comment
A274,4,1,A274 P2,BOX5_N2_RACK2,N2,2, ,P2,,1,12/5/2023,
A286,1,2,A286 P1,BOX5_N2_RACK2,N2,1, ,P1,,1,12/5/2023,
A301,9,5,A301 P1,BOX5_N2_RACK2,N2,1, ,P1,YES,1,12/5/2023,
A308,3,1,A308 P2,BOX6_N2_RACK2,N2,2, ,P2,,1,12/5/2023,
A322,1,6,A322 P4,Fibro..80.BOX.13,-80,4, ,P4,YES,1,12/5/2023,
A342,5,2,A342 P1,BOX3_N2_RACK2,N2,1, ,P1,YES,1,12/5/2023,
A391,4,3,A391 P1,BOX11_N2_RACK2,N2,1, ,P1,YES,1,12/5/2023,
A422,6,4,A422 P1,BOX11_N2_RACK2,N2,1, ,P1,YES,1,12/5/2023,
A423,6,6,A423 P0,BOX11_N2_RACK2,N2,0, ,P0,YES,1,12/5/2023,
A424,5,7,A424 P0,BOX11_N2_RACK2,N2,0, ,P0,,1,12/5/2023,
A439,6,1,A439 P1,BOX12_N2_RACK2,N2,1, ,P1,,1,12/5/2023,
A446,4,1,A446 P1,BOX12_N2_RACK2,N2,1, ,P1,,1,12/5/2023,
,,,,,,,,,,,,
